account_status,account_id,account_name,campaign_id,campaign_name,campaign_budget_remaining,campaign_daily_budget,campaign_end_date,campaign_lifetime_budget,campaign_start_date,campaign_buying_type,campaign_configured_status,campaign_objective,campaign_spend_cap,campaign_status,currency,data_source_name,date,platform_position,publisher_platform,spend_cap,cost,cost_eur,cost_gbp,cost_usd,reach,store_visits_point_estimate
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,facebook_stories,facebook,0.0,0.57,0.5318,0.4546,0.57,1248,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,facebook,0.0,27.54,25.6963,21.9634,27.54,61815,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,instagram,0.0,0.16,0.1493,0.1276,0.16,208,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_explore,instagram,0.0,0.6,0.5598,0.4785,0.6,1193,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_reels,instagram,0.0,0.11,0.1026,0.0877,0.11,240,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_stories,instagram,0.0,3.25,3.0324,2.5919,3.25,7810,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instream_video,facebook,0.0,0.71,0.6625,0.5662,0.71,1715,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,marketplace,facebook,0.0,0.32,0.2986,0.2552,0.32,544,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,search,facebook,0.0,0.3,0.2799,0.2393,0.3,560,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849539322320009,CLARO_CLAH_CLARO HOGAR FTTH - NORTE _EQU_RCH_FBME_01FEB22_30ABR22_5997_59974300843598001,0.0,,2022-06-30,,2022-02-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,video_feeds,facebook,0.0,6.4,5.9715,5.1041,6.4,14098,
