account_name,advertising_channel_sub_type,advertising_channel_type,bidding_strategy,bidding_strategy_id,bidding_strategy_type,campaign_id,campaign_labels,campaign_name,campaign_status,currency,data_source_name,date,account_id,daily_budget,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,impression_share,interactions,search_absolute_top_impression_share,search_budget_lost_impression_share,search_exact_match_impression_share,search_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,top_impression_percentage,total_budget,available_impressions,video_impressions,video_views,view_through_conversions
Fijos,,Video,,,Target CPM,16248971969,,CLARO_CLAH_B2S I_EQU_RCH_YTME_16FEB22_28FEB22_6210_62104300843677001,enabled,USD,Google Ads,2022-04-19,5130185605,500.0,405,0.0,0.0,145.411,134.8672,111.773,145.411,54027,155040,,54027,0.0,,,,0.0,0.0,0.0,,0,155066,39852,0.0
Fijos,,Video,,,Target CPM,16581061349,,CLARO_CLAH_IMAGEN DE HOGAR_EQU_RCH_YTME_16MAR22_31MAR22_6703_67034300843677001,enabled,USD,Google Ads,2022-04-19,5130185605,,574,0.0,0.0,207.971,192.891,159.861,207.971,82677,233638,,82677,0.0,,,,0.0,0.0,0.0,26299.68,0,233648,60912,0.0
Fijos,,Video,,,Target CPM,16779171838,,CLARO_CLAH_NETFLIX MANTENIMIENTO SUR_CONS_EQU_RCH_YTME_01ABR22_30ABR22_7003_70034300843677001,enabled,USD,Google Ads,2022-04-19,5130185605,,9,0.0,0.0,11.1163,10.3102,8.5447,11.1163,11235,27247,,11236,0.0,,,,0.0,0.0,0.0,,0,27250,5210,0.0
Fijos,Drive conversions,Video,,,Maximize Conversions,15452185098,,Remarketing Youtube Beta,enabled,USD,Google Ads,2022-04-19,5130185605,,199,0.0,0.0,27.1788,25.2081,20.8916,27.1788,13659,24083,,13659,0.0,,,,0.0,0.0,0.0,,0,24076,9501,0.0
Fijos,Non-skippable in-stream,Video,,,Target CPM,16788180944,,CLARO_FCLAR_FULL CLARO_CONS_BRD_YTME_04ABR22_30ABR22_7166_71664300843677001,enabled,USD,Google Ads,2022-04-19,5130185605,,17,0.0,0.0,59.5734,55.2537,45.7923,59.5734,0,73170,,17,0.0,,,,0.0,0.0,0.0,5500.0,0,,0,0.0
Postpago,Non-skippable in-stream,Video,,,Target CPM,16181371610,,CLARO_CLAG_UN BUEN PLAN _CONS_RCH_YTME_09FEB22_28FEB22_6163_61634300943677001,enabled,USD,Google Ads,2022-04-19,5877113422,,31,0.0,0.0,31.8397,29.531,24.4742,31.8397,0,20782,,31,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Prepago,,Video,,,Target CPM,16022331348,,CLARO_CLAP_RECARGA VIBRAS_EQU_VVW_FBIGME_28ENE22_28FEB22_5938_59384300843599002,enabled,USD,Google Ads,2022-04-19,8724931293,,1227,0.0,0.0,74.0574,68.6875,56.9257,74.0574,75261,207287,,75261,0.0,,,,0.0,0.0,0.0,47837.81,0,207263,64376,0.0
Prepago,,Video,,,Target CPM,16050167187,,CLARO_CLAP_RECARGA VIBRAS_EQU_BRD_YTME_28ENE22_28FEB22_5938_59384300843677002,enabled,USD,Google Ads,2022-04-19,8724931293,,662,0.0,0.0,52.0589,48.2841,40.0161,52.0589,0,212798,,662,0.0,,,,0.0,0.0,0.0,28628.35,0,,0,0.0
Prepago,Non-skippable in-stream,Video,,,Target CPM,16080657015,,CLARO_CLAP_RECARGA VIBRAS_EQU_BRD_YTME_28ENE22_28FEB22_5938_59384300843677003,enabled,USD,Google Ads,2022-04-19,8724931293,,60,0.0,0.0,49.0409,45.4849,37.6962,49.0409,0,43293,,60,0.0,,,,0.0,0.0,0.0,23436.96,0,,0,0.0
VAS,Non-skippable in-stream,Video,,,Target CPM,16106134204,,CLARO_CLVI_CLARO VIDEO BENEFICIOS_EQUCONS_RCH_YTME_01JUL21_31DIC22_6364_ 63644300843677001,enabled,USD,Google Ads,2022-04-19,7093349029,,23,0.0,0.0,29.2284,27.109,22.467,29.2284,0,15375,,23,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13005361626,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_MAX BRAND_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,25.37,36,0.0,0.0,9.7,8.9967,7.4561,9.7,0,86,,36,,,,,0.0,,0.98,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13005362109,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_FIBRA BRAND_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,36.68,8,0.0,0.0,6.4291,5.963,4.9419,6.4291,0,159,,8,,,,,0.0,,0.95,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13006684483,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_HFC BRAND_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,13.59,34,0.0,0.0,9.75,9.043,7.4945,9.75,0,118,,34,,,,,0.0,,0.95,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13006685905,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_HFC GENERIC_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,49.74,16,0.0,0.0,15.1,14.0051,11.6069,15.1,0,226,,16,,,,,0.0,,0.96,,0,,0,0.0
Empresas,,Search,,,Maximize Conversions,13007362703,,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_FIBRA GENERIC_6456_64564300743634001,enabled,USD,Google Ads,2022-04-19,9205094647,8.79,7,0.0,0.0,3.31,3.07,2.5443,3.31,0,88,,7,,,,,0.0,,0.89,,0,,0,0.0
Fijos,,Search,,,Maximize Conversion Value,10741993878,"[""B2S2021""]",CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634004_BRAND,enabled,USD,Google Ads,2022-04-19,5130185605,255.0,307,1.0,18.74,68.86,63.8669,52.9306,68.86,0,1261,,307,,,,,0.0,,0.99,,0,,0,0.0
Fijos,,Search,,,Maximize Conversion Value,10741993884,"[""B2S2021""]",CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634001_GENERICO,enabled,USD,Google Ads,2022-04-19,5130185605,200.0,155,0.0,0.0,73.56,68.2261,56.5433,73.56,0,1262,,155,,,,,0.0,,0.93,,0,,0,0.0
