account_name,advertising_channel_sub_type,advertising_channel_type,bidding_strategy,bidding_strategy_id,bidding_strategy_type,campaign_id,campaign_labels,campaign_name,campaign_status,conversion_category,conversion_tracker_id,conversion_type_name,data_source_name,date,device,external_conversion_source,network,account_id,conversions,conversion_value,estimated_cross_device_conversions,estimated_total_conversions,estimated_total_conversion_value,view_through_conversions
Fijos,,Display,,,Maximize Conversions,13378658155,,CLARO_CLAH_B2S I _CONV_CON_DISME_03JUN21_30JUN21_1365_13654300743591001,enabled,Other,731865572,Portal Claro (Claro.com.pe) G4 (web) compra,Google Ads,2022-04-19,mobile,Other,Display Network,5130185605,0.0,0.0,,3.0,3.0,0.0
Fijos,,Display,,,Maximize Conversions,13378658155,,CLARO_CLAH_B2S I _CONV_CON_DISME_03JUN21_30JUN21_1365_13654300743591001,enabled,Request quote,499151019,Full Claro (Portal Claro Perú - 2019),Google Ads,2022-04-19,mobile,Analytics,Display Network,5130185605,0.0,0.0,,0.0,0.0,0.0
Fijos,,Display,,,Maximize Conversions,13378658155,,CLARO_CLAH_B2S I _CONV_CON_DISME_03JUN21_30JUN21_1365_13654300743591001,enabled,Submit lead form,356184656,Formulario Oferta Fija 2 ( Objetivo GA ) beta (Portal Claro Perú - 2019),Google Ads,2022-04-19,mobile,Analytics,Display Network,5130185605,0.0,0.0,,0.0,0.0,0.0
Fijos,,Display,,,Maximize Conversions,13378658155,,CLARO_CLAH_B2S I _CONV_CON_DISME_03JUN21_30JUN21_1365_13654300743591001,enabled,Submit lead form,795684439,Beta Display Hogar > internet 12102021,Google Ads,2022-04-19,mobile,Website,Display Network,5130185605,0.0,0.0,,0.0,0.0,0.0
Fijos,,Display,,,Maximize Conversions,15591286750,,CLARO_CLAH_B2S I _CONV_CON_DISME_09AGO21_31AGO21_2286_22864300743591001_B2S2021_FIJOS MIGRACION,enabled,Other,731865572,Portal Claro (Claro.com.pe) G4 (web) compra,Google Ads,2022-04-19,mobile,Other,Display Network,5130185605,0.0,0.0,,4.0,4.0,0.0
Fijos,,Display,,,Maximize Conversions,15591286750,,CLARO_CLAH_B2S I _CONV_CON_DISME_09AGO21_31AGO21_2286_22864300743591001_B2S2021_FIJOS MIGRACION,enabled,Signup,519440113,Hogar > Internet (Portal Claro Perú - 2021),Google Ads,2022-04-19,mobile,Analytics,Display Network,5130185605,1.0,24.09,,1.0,24.09,0.0
Fijos,,Display,,,Maximize Conversions,15591286750,,CLARO_CLAH_B2S I _CONV_CON_DISME_09AGO21_31AGO21_2286_22864300743591001_B2S2021_FIJOS MIGRACION,enabled,Submit lead form,356184656,Formulario Oferta Fija 2 ( Objetivo GA ) beta (Portal Claro Perú - 2019),Google Ads,2022-04-19,mobile,Analytics,Display Network,5130185605,0.0,0.0,,1.0,24.09,0.0
Fijos,,Display,,,Maximize Conversions,15591286750,,CLARO_CLAH_B2S I _CONV_CON_DISME_09AGO21_31AGO21_2286_22864300743591001_B2S2021_FIJOS MIGRACION,enabled,Submit lead form,795684439,Beta Display Hogar > internet 12102021,Google Ads,2022-04-19,mobile,Website,Display Network,5130185605,0.0,0.0,,2.05,54.86,0.0
Fijos,,Display,,,Maximize Conversions,15591286756,,CLARO_CLAH_FIBRA OPTICA _CONV_CON_DISME_21JUL21_31JUL21_2026_20264300743591001_FIJOS MIGRACION,enabled,Other,731865572,Portal Claro (Claro.com.pe) G4 (web) compra,Google Ads,2022-04-19,mobile,Other,Display Network,5130185605,0.0,0.0,,14.0,14.0,0.0
Fijos,,Display,,,Maximize Conversions,15591286756,,CLARO_CLAH_FIBRA OPTICA _CONV_CON_DISME_21JUL21_31JUL21_2026_20264300743591001_FIJOS MIGRACION,enabled,Submit lead form,795684439,Beta Display Hogar > internet 12102021,Google Ads,2022-04-19,mobile,Website,Display Network,5130185605,0.0,0.0,,0.0,0.0,0.0
Fijos,,Performance Max,,,Maximize Conversions,15705932348,,CLARO_CLAH_B2S I_CONV_CON_DISME_28DIC21_31DIC21_5386_53864300743591001_ PRUEBA MAX PERFORMANCE TVirtual,enabled,Other,731865572,Portal Claro (Claro.com.pe) G4 (web) compra,Google Ads,2022-04-19,mobile,Other,Cross-network,5130185605,0.0,0.0,,35.0,35.0,0.0
Fijos,,Performance Max,,,Maximize Conversions,15705932348,,CLARO_CLAH_B2S I_CONV_CON_DISME_28DIC21_31DIC21_5386_53864300743591001_ PRUEBA MAX PERFORMANCE TVirtual,enabled,Other,731865572,Portal Claro (Claro.com.pe) G4 (web) compra,Google Ads,2022-04-19,tablet,Other,Cross-network,5130185605,0.0,0.0,,4.0,4.0,0.0
Fijos,,Performance Max,,,Maximize Conversions,15705932348,,CLARO_CLAH_B2S I_CONV_CON_DISME_28DIC21_31DIC21_5386_53864300743591001_ PRUEBA MAX PERFORMANCE TVirtual,enabled,Signup,519440113,Hogar > Internet (Portal Claro Perú - 2021),Google Ads,2022-04-19,mobile,Analytics,Cross-network,5130185605,3.02,94.1,,3.02,94.1,0.0
Fijos,,Performance Max,,,Maximize Conversions,15705932348,,CLARO_CLAH_B2S I_CONV_CON_DISME_28DIC21_31DIC21_5386_53864300743591001_ PRUEBA MAX PERFORMANCE TVirtual,enabled,Submit lead form,356184656,Formulario Oferta Fija 2 ( Objetivo GA ) beta (Portal Claro Perú - 2019),Google Ads,2022-04-19,mobile,Analytics,Cross-network,5130185605,0.0,0.0,,2.15,78.46,0.0
