account_name,ad_group_id,ad_group_name,ad_group_status,campaign_name,campaign_status,creative_quality_score,currency,data_source_name,date,keyword,keyword_destination_url,keyword_id,keyword_labels,keyword_status,match_type,network,network_with_search_partners,post_click_quality_score,account_id,quality_score,average_position,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,interactions,view_through_conversions
Empresas,121645639653,CLARO NEGOCIOS AON_ABI_CLI_MBDS_ATEX_10MAY21_31DIC21_HFC GENERIC_INTERNET FIJO EMPRESA_11_CLARO NEGOCIOS AON_ATEX_NA_NA_10MAY21_31DIC21_INTERNET FIJO EMPRESA_HFC GENERIC,enabled,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_HFC GENERIC_6456_64564300743634001,enabled,,USD,Google Ads,2022-04-19,plan internet empresa,,456626800031,,enabled,Exact,Search Network,Search partners,,9205094647,,,1,0.0,0.0,0.59,0.5472,0.4535,0.59,0,2,1,0.0
Empresas,121645639653,CLARO NEGOCIOS AON_ABI_CLI_MBDS_ATEX_10MAY21_31DIC21_HFC GENERIC_INTERNET FIJO EMPRESA_11_CLARO NEGOCIOS AON_ATEX_NA_NA_10MAY21_31DIC21_INTERNET FIJO EMPRESA_HFC GENERIC,enabled,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CON_SEARCH_10MAY21_31DIC22_HFC GENERIC_6456_64564300743634001,enabled,,USD,Google Ads,2022-04-19,plan internet empresa,,650794686159,,enabled,Broad,Search Network,Google search,,9205094647,,,4,0.0,0.0,1.31,1.215,1.007,1.31,0,47,4,0.0
Fijos,122433497219,LA NUEVA TV_VARSEG_CPL_NA_SEARCH LA NUEVA TV_13MAY21_31DIC22_89181,enabled,CLARO_CLAH_LA NUEVA TV_CONV_CON_SEARCH_13MAY21_31DIC22_2114_21144300743634001,enabled,,USD,Google Ads,2022-04-19,tv en linea,,17897376,,enabled,Broad,Search Network,Google search,,5130185605,,,3,0.0,0.0,0.56,0.5194,0.4305,0.56,0,10,3,0.0
Fijos,122433497219,LA NUEVA TV_VARSEG_CPL_NA_SEARCH LA NUEVA TV_13MAY21_31DIC22_89181,enabled,CLARO_CLAH_LA NUEVA TV_CONV_CON_SEARCH_13MAY21_31DIC22_2114_21144300743634001,enabled,,USD,Google Ads,2022-04-19,tv on line por internet,,472158514970,,enabled,Broad,Search Network,Google search,,5130185605,,,4,0.0,0.0,0.71,0.6585,0.5458,0.71,0,34,4,0.0
Fijos,122433497219,LA NUEVA TV_VARSEG_CPL_NA_SEARCH LA NUEVA TV_13MAY21_31DIC22_89181,enabled,CLARO_CLAH_LA NUEVA TV_CONV_CON_SEARCH_13MAY21_31DIC22_2114_21144300743634001,enabled,,USD,Google Ads,2022-04-19,tv on line por internet,,472158514970,,enabled,Broad,Search Network,Search partners,,5130185605,,,2,0.0,0.0,0.24,0.2226,0.1845,0.24,0,136,2,0.0
Fijos,125918128523,AON FIJOS_GENE_CPL_NA_INTERNET MODEM_01AGO21_31AGO21_116674,enabled,CLARO_CLAH_AON FIJOS_CONV_CON_SEARCH_01AGO21_31AGO21_4518_45184300743634002_GENERICO_NUEVO,enabled,,USD,Google Ads,2022-04-19,internet y wifi,,294576304502,,enabled,Broad,Search Network,Google search,,5130185605,,,8,0.0,0.0,1.97,1.8272,1.5143,1.97,0,42,8,0.0
Imagen,70451886841,Claro Online,enabled,Claro - Brand Puro - Search,enabled,,USD,Google Ads,2022-04-19,claro web,,298146820500,,enabled,Broad,Search Network,Google search,,7465087050,,,20,0.0,0.0,9.25,8.5793,7.1102,9.25,0,73,20,0.0
Imagen,70451886841,Claro Online,enabled,Claro - Brand Puro - Search,enabled,,USD,Google Ads,2022-04-19,mi claro perú,,365396786521,,enabled,Broad,Search Network,Google search,,7465087050,,,29,0.0,0.0,9.34,8.6628,7.1794,9.34,0,81,29,0.0
Imagen,70451886841,Claro Online,enabled,Claro - Brand Puro - Search,enabled,,USD,Google Ads,2022-04-19,mi claro web,,298563093351,,enabled,Broad,Search Network,Google search,,7465087050,,,6,0.0,0.0,2.45,2.2723,1.8832,2.45,0,16,6,0.0
Imagen,70451886841,Claro Online,enabled,Claro - Brand Puro - Search,enabled,,USD,Google Ads,2022-04-19,paginas claro,,298316939664,,enabled,Broad,Search Network,Google search,,7465087050,,,40,0.0,0.0,13.11,12.1594,10.0773,13.11,0,139,40,0.0
