account_name,account_id,campaign_created_date,currency,campaign_deleted,campaign_end_date,campaign_id,campaign_name,campaign_paused,campaign_servable,campaign_standard_delivery,campaign_start_date,data_source_name,date,device,line_item_advertiser_domain,line_item_automatically_select_bid,line_item_bid_amount,line_item_bid_type,line_item_bid_unit,line_item_categories,line_item_charge_by,line_item_created_date,line_item_deleted,line_item_id,line_item_include_sentiment,line_item_name,line_item_objective,line_item_optimization,line_item_paused,line_item_placements,line_item_primary_web_event_tag,line_item_product_type,line_item_total_budget,line_item_tracking_tags,placement,promoted_tweet_card_destination_url,promoted_tweet_card_display_url,promoted_tweet_card_image_url,promoted_tweet_card_title,promoted_tweet_created_date,promoted_tweet_first_url,promoted_tweet_id,promoted_tweet_text,utm_campaign,utm_content,utm_medium,utm_source,utm_term,app_clicks,billed_engagements,billed_follows,card_engagements,clicks,conversion_custom,conversion_downloads,conversion_order_quantity,conversion_purchases,conversion_sale_amount,conversion_sign_ups,conversion_site_visits,conversions,cost,engagements,followers,follows,impressions,leads,paid_likes,media_views,promoted_video_views_100,promoted_video_views_25,promoted_video_views_50,promoted_video_views_75,replies,retweets,link_clicks,likes
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-07,USD,,2022-06-09,hxgva,CLARO_CLAI_AON IMAGEN_EQU_RCH_TWT_01JUN22_30JUN22_8061_80614300843644001_REPECHAJE,,,true,2022-06-07,Twitter Ads,2022-06-08,,,,,AUTO,,,IMPRESSION,2022-06-07,,mlxqr,,AON IMAGEN_ABI_CPM_NA_BOLSA TWITTER - IMAGEN_02JUN22_30JUN22_130497,REACH,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,,,ALL_ON_TWITTER,,,,,2022-06-07,,1534173333188657153,📣 ¡A pocas horas de conocer a nuestro rival para el repechaje! ⚽ ¿Cuál crees que será el equipo que enfrentaremos para nuestro pase al mundial? 🤔  #JuntosLaHacemos 🇵🇪💪 #HazloRealidad https://t.co/BzJ0pOQUV9,,,cpc,twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-07,USD,,2022-06-09,hxgva,CLARO_CLAI_AON IMAGEN_EQU_RCH_TWT_01JUN22_30JUN22_8061_80614300843644001_REPECHAJE,,,true,2022-06-07,Twitter Ads,2022-06-08,,,,,AUTO,,,IMPRESSION,2022-06-07,,mlxqr,,AON IMAGEN_ABI_CPM_NA_BOLSA TWITTER - IMAGEN_02JUN22_30JUN22_130497,REACH,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,,,PUBLISHER_NETWORK,,,,,2022-06-07,,1534173333188657153,📣 ¡A pocas horas de conocer a nuestro rival para el repechaje! ⚽ ¿Cuál crees que será el equipo que enfrentaremos para nuestro pase al mundial? 🤔  #JuntosLaHacemos 🇵🇪💪 #HazloRealidad https://t.co/BzJ0pOQUV9,,,cpc,twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-07,USD,,2022-06-09,hxgva,CLARO_CLAI_AON IMAGEN_EQU_RCH_TWT_01JUN22_30JUN22_8061_80614300843644001_REPECHAJE,,,true,2022-06-07,Twitter Ads,2022-06-08,desktop,,,,AUTO,,,IMPRESSION,2022-06-07,,mlxqr,,AON IMAGEN_ABI_CPM_NA_BOLSA TWITTER - IMAGEN_02JUN22_30JUN22_130497,REACH,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,,,ALL_ON_TWITTER,,,,,2022-06-07,,1534173333188657153,📣 ¡A pocas horas de conocer a nuestro rival para el repechaje! ⚽ ¿Cuál crees que será el equipo que enfrentaremos para nuestro pase al mundial? 🤔  #JuntosLaHacemos 🇵🇪💪 #HazloRealidad https://t.co/BzJ0pOQUV9,,,cpc,twitter,,,,,,19,,,,,,,,,10.1982,61,,,7320,,5,1861,1408,5181,2760,1822,,,,52
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-07,USD,,2022-06-09,hxgva,CLARO_CLAI_AON IMAGEN_EQU_RCH_TWT_01JUN22_30JUN22_8061_80614300843644001_REPECHAJE,,,true,2022-06-07,Twitter Ads,2022-06-08,mobile,,,,AUTO,,,IMPRESSION,2022-06-07,,mlxqr,,AON IMAGEN_ABI_CPM_NA_BOLSA TWITTER - IMAGEN_02JUN22_30JUN22_130497,REACH,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,,,ALL_ON_TWITTER,,,,,2022-06-07,,1534173333188657153,📣 ¡A pocas horas de conocer a nuestro rival para el repechaje! ⚽ ¿Cuál crees que será el equipo que enfrentaremos para nuestro pase al mundial? 🤔  #JuntosLaHacemos 🇵🇪💪 #HazloRealidad https://t.co/BzJ0pOQUV9,,,cpc,twitter,,,,,,234,,,,,,,,,66.5009,469,,,48632,,10,10543,8525,19501,13597,10100,,,,52
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-01,USD,,2022-06-13,hwadn,CLARO_CLAI_TESTIMONIALES_CONS_VVW_TWT_01JUN22_30JUN22_8108_81084300943644001,,true,,2022-06-01,Twitter Ads,2022-06-08,,,,,AUTO,,,IMPRESSION,2022-06-01,,mkf25,,TESTIMONIALES_ABI_CPVBLK_NA_ERICK INGENIERO PARRILLERO 1MIN_01JUN22_12JUN22_130404,VIDEO_VIEWS,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,800.0,,ALL_ON_TWITTER,,,,,2022-06-01,,1531999007928508418,"¡Erick hizo realidad su pasión y su profesión! 💪😍 Hoy es un excelente ingeniero ambiental y maestro parrillero en Tarapoto, gracias a su empeño diario y a su conexión con la señal de Claro. 🙌 ¡Unidos todos, haremos realidad el Perú que soñamos! #HazloRealidad 🇵🇪❤️ https://t.co/q5swJMfo9D",,,cpc,twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-01,USD,,2022-06-13,hwadn,CLARO_CLAI_TESTIMONIALES_CONS_VVW_TWT_01JUN22_30JUN22_8108_81084300943644001,,true,,2022-06-01,Twitter Ads,2022-06-08,,,,,AUTO,,,IMPRESSION,2022-06-01,,mkf25,,TESTIMONIALES_ABI_CPVBLK_NA_ERICK INGENIERO PARRILLERO 1MIN_01JUN22_12JUN22_130404,VIDEO_VIEWS,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,800.0,,PUBLISHER_NETWORK,,,,,2022-06-01,,1531999007928508418,"¡Erick hizo realidad su pasión y su profesión! 💪😍 Hoy es un excelente ingeniero ambiental y maestro parrillero en Tarapoto, gracias a su empeño diario y a su conexión con la señal de Claro. 🙌 ¡Unidos todos, haremos realidad el Perú que soñamos! #HazloRealidad 🇵🇪❤️ https://t.co/q5swJMfo9D",,,cpc,twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-01,USD,,2022-06-13,hwadn,CLARO_CLAI_TESTIMONIALES_CONS_VVW_TWT_01JUN22_30JUN22_8108_81084300943644001,,true,,2022-06-01,Twitter Ads,2022-06-08,desktop,,,,AUTO,,,IMPRESSION,2022-06-01,,mkf25,,TESTIMONIALES_ABI_CPVBLK_NA_ERICK INGENIERO PARRILLERO 1MIN_01JUN22_12JUN22_130404,VIDEO_VIEWS,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,800.0,,ALL_ON_TWITTER,,,,,2022-06-01,,1531999007928508418,"¡Erick hizo realidad su pasión y su profesión! 💪😍 Hoy es un excelente ingeniero ambiental y maestro parrillero en Tarapoto, gracias a su empeño diario y a su conexión con la señal de Claro. 🙌 ¡Unidos todos, haremos realidad el Perú que soñamos! #HazloRealidad 🇵🇪❤️ https://t.co/q5swJMfo9D",,,cpc,twitter,,,,,,4,,,,,,,,,9.7496,12,,,6489,,,2821,800,1456,983,864,,,,125
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-01,USD,,2022-06-13,hwadn,CLARO_CLAI_TESTIMONIALES_CONS_VVW_TWT_01JUN22_30JUN22_8108_81084300943644001,,true,,2022-06-01,Twitter Ads,2022-06-08,mobile,,,,AUTO,,,IMPRESSION,2022-06-01,,mkf25,,TESTIMONIALES_ABI_CPVBLK_NA_ERICK INGENIERO PARRILLERO 1MIN_01JUN22_12JUN22_130404,VIDEO_VIEWS,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,800.0,,ALL_ON_TWITTER,,,,,2022-06-01,,1531999007928508418,"¡Erick hizo realidad su pasión y su profesión! 💪😍 Hoy es un excelente ingeniero ambiental y maestro parrillero en Tarapoto, gracias a su empeño diario y a su conexión con la señal de Claro. 🙌 ¡Unidos todos, haremos realidad el Perú que soñamos! #HazloRealidad 🇵🇪❤️ https://t.co/q5swJMfo9D",,,cpc,twitter,,,,,,250,,,,,,,,,57.253,321,,1,41408,,15,27115,682,11173,3168,1235,,,,125
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-01,USD,,2022-07-01,hw2tp,CLARO_CLAH_IMAGEN DE HOGAR_EQU_VVW_TWT_16MAR22_29MAR22_6719_67194300843644001_Junio,,true,true,2022-06-01,Twitter Ads,2022-06-08,,,,,AUTO,,,IMPRESSION,2022-06-01,,mk41q,,IMAGEN DE HOGAR_PMVD_NATAG_VIDEO_VELOCIDAD+ESTABILIDAD 15S_BRANDING_22MAR22_29MAR22,VIDEO_VIEWS,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,5033.5,,ALL_ON_TWITTER,,,,,2022-05-27,http://cl4ro.pe/FibraOptica.tw,1530187067296305152,"¡Con #ClaroHogar dale al internet de tu casa velocidad y estabilidad! Confía en la #FibraOpticaClaro y disfruta de 100Mbps + Telefonía con 50% de dto. x 2 meses. ¡Claro es América Movil, el operador de Internet más grande de Latinoamérica! Más info: https://t.co/gazN98AkqV https://t.co/t6PpIMgDke",,,cpc,twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,2022-06-01,USD,,2022-07-01,hw2tp,CLARO_CLAH_IMAGEN DE HOGAR_EQU_VVW_TWT_16MAR22_29MAR22_6719_67194300843644001_Junio,,true,true,2022-06-01,Twitter Ads,2022-06-08,,,,,AUTO,,,IMPRESSION,2022-06-01,,mk41q,,IMAGEN DE HOGAR_PMVD_NATAG_VIDEO_VELOCIDAD+ESTABILIDAD 15S_BRANDING_22MAR22_29MAR22,VIDEO_VIEWS,,,ALL_ON_TWITTER,,PROMOTED_TWEETS,5033.5,,PUBLISHER_NETWORK,,,,,2022-05-27,http://cl4ro.pe/FibraOptica.tw,1530187067296305152,"¡Con #ClaroHogar dale al internet de tu casa velocidad y estabilidad! Confía en la #FibraOpticaClaro y disfruta de 100Mbps + Telefonía con 50% de dto. x 2 meses. ¡Claro es América Movil, el operador de Internet más grande de Latinoamérica! Más info: https://t.co/gazN98AkqV https://t.co/t6PpIMgDke",,,cpc,twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286
