account_name,account_id,currency,campaign_daily_budget,campaign_deleted,campaign_end_date,campaign_id,campaign_name,campaign_paused,campaign_servable,campaign_start_date,campaign_total_budget,data_source_name,date,cost
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,,,,,,,,,,,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,95.87,,2022-03-30,hfecc,CLARO_CLAH_IMAGEN DE HOGAR_EQU_RCH_TWT_23MAR22_29MAR22_6717_67174300843644001,,,2022-03-24,575.19,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,80.0,,2022-04-04,harg5,CLARO_CLAI_IMAGEN AON_EQU_RCH_TWT_01MAR22_31MAR22_6380_63804300843644002,,,2022-03-08,2000.0,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,70.0,,2022-05-01,hd44h,CLARO_CLAH_IMAGEN DE HOGAR_EQU_VVW_TWT_16MAR22_29MAR22_6719_67194300843644001,,,2022-03-16,7933.0,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,500.0,,2022-05-01,hnqti,CLARO_CLAH_B2S I_CONV_CON_TWT_20ABR22_30ABR22_7428_74284300743644001,,,2022-04-25,3000.0,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,571.43,,2022-05-09,hplrg,CLARO_CLAG_DDLM_CONS_EQU_CONV_TRF_TWT_23ABR22_08MAY22_7469_74694300943644001,,,2022-05-02,4000.0,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,170.0,,2022-05-23,ht8ge,CLARO_CLAG_ATM_CONS_EQU_VVW_TWT_13MAY22_31MAY22_7881_78814300943644002,,,2022-05-18,850.0,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,161.29,,2022-05-31,hp1n8,CLARO_CLAH_B2S I_CONV_CON_TWT_20ABR22_30ABR22_7428_74284300743644001_MAYO,,,2022-05-01,5000.0,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,250.0,,2022-06-01,hsnfi,CLARO_CLAG_ATM_CONS_EQU_VVW_TWT_16MAY22_31MAY22_7881_78814300943644001,,,2022-05-16,4000.0,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,270.0,,2022-06-01,hp1pm,CLARO_CLAH_IMAGEN DE HOGAR_EQU_VVW_TWT_16MAR22_29MAR22_6719_67194300843644001_MAYO,,,2022-05-01,5918.0,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,,,2022-06-05,hwiny,CLARO_CLAI_AON IMAGEN_EQU_RCH_TWT_01JUN22_30JUN22_8061_80614300843644001,,,2022-06-04,,Twitter Ads,2022-06-08,
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,77.11,,2022-06-09,hxgva,CLARO_CLAI_AON IMAGEN_EQU_RCH_TWT_01JUN22_30JUN22_8061_80614300843644001_REPECHAJE,,,2022-06-07,150.0,Twitter Ads,2022-06-08,76.7031
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,,,2022-06-13,hwadn,CLARO_CLAI_TESTIMONIALES_CONS_VVW_TWT_01JUN22_30JUN22_8108_81084300943644001,,true,2022-06-01,,Twitter Ads,2022-06-08,67.0073
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,110.52,,2022-07-01,hw2py,CLARO_CLAG_ATM_CONS_EQU_VVW_TWT_16MAY22_31MAY22_7881_78814300943644001_JUNIO,,true,2022-06-01,3315.51,Twitter Ads,2022-06-08,110.5253
"""Claro Peru - IMS - Internet Media Services",18ce55g5zvr,USD,162.0,,2022-07-01,hw2tp,CLARO_CLAH_IMAGEN DE HOGAR_EQU_VVW_TWT_16MAR22_29MAR22_6719_67194300843644001_Junio,,true,2022-06-01,5033.5,Twitter Ads,2022-06-08,162.0087
